acl_id,survey_section,year,annotator_count,extracted_metric,iaa_value_extracted,subjectivity_rank
2024.humeval-1.21,§4.7,2024,,krippendorff_alpha,0.45,4.0
2024.lrec-main.110,§4.5,2024,,cohens_kappa,0.75,4.0
2024.lrec-main.110,§4.5,2024,,cohens_kappa,0.56,4.0
2024.lrec-main.110,§4.5,2024,,cohens_kappa,0.75,4.0
2024.lrec-main.110,§4.5,2024,,fleiss_kappa,0.75,4.0
2024.lrec-main.389,§4.3,2024,,krippendorff_alpha,0.08,4.0
2024.lrec-main.389,§4.3,2024,,krippendorff_alpha,0.68,4.0
2024.lrec-main.389,§4.3,2024,,krippendorff_alpha,0.08,4.0
2024.lrec-main.488,§4.4,2024,,cohens_kappa,0.93,4.0
2024.lrec-main.488,§4.4,2024,,cohens_kappa,0.86,4.0
2024.lrec-main.741,§4.1,2024,,generic,0.67,4.0
2024.lrec-main.839,§4.3,2024,,krippendorff_alpha,0.01,4.0
2024.lrec-main.839,§4.3,2024,,generic,0.95,4.0
2024.lrec-main.894,§4.3,2024,,krippendorff_alpha,0.8,4.0
2024.lrec-main.894,§4.3,2024,,krippendorff_alpha,0.8,4.0
2024.lrec-main.1485,§4.3,2024,,krippendorff_alpha,0.85,4.0
2024.lt4hala-1.13,§4.5,2024,,cohens_kappa,0.76,4.0
2024.lt4hala-1.13,§4.5,2024,,krippendorff_alpha,0.05,4.0
2024.mwe-1.16,§4.3,2024,,cohens_kappa,0.8433,4.0
2024.mwe-1.16,§4.3,2024,,cohens_kappa,0.6311,4.0
2024.nlp4dh-1.6,§4.5,2024,,cohens_kappa,0.405,4.0
2024.nlp4dh-1.6,§4.5,2024,,fleiss_kappa,0.405,4.0
2024.signlang-1.7,§3,2024,,cohens_kappa,0.75,4.0
2024.wassa-1.18,§4.3,2024,,cohens_kappa,0.67,4.0
2025.acl-long.1101,§4.6,2025,,krippendorff_alpha,0.05,4.0
2025.aimecon-main.37,§4.6,2025,,cohens_kappa,0.074,4.0
2025.banglalp-1.8,§4.5,2025,,cohens_kappa,0.84,4.0
2025.banglalp-1.8,§4.5,2025,,cohens_kappa,0.84,4.0
2025.banglalp-1.8,§4.5,2025,,cohens_kappa,0.88,4.0
2025.bsnlp-1.2,§4.6,2025,,cohens_kappa,0.28,4.0
2025.bsnlp-1.2,§4.6,2025,,cohens_kappa,0.27,4.0
2025.bsnlp-1.2,§4.6,2025,,cohens_kappa,0.63,4.0
2025.bsnlp-1.2,§4.6,2025,,cohens_kappa,0.26,4.0
2025.bsnlp-1.2,§4.6,2025,,cohens_kappa,0.69,4.0
2025.bsnlp-1.2,§4.6,2025,,cohens_kappa,0.5,4.0
2025.bsnlp-1.2,§4.6,2025,,cohens_kappa,0.27,4.0
2025.bsnlp-1.2,§4.6,2025,,cohens_kappa,0.59,4.0
2025.bsnlp-1.2,§4.6,2025,,cohens_kappa,0.28,4.0
2025.bsnlp-1.2,§4.6,2025,,cohens_kappa,0.2,4.0
2025.bsnlp-1.2,§4.6,2025,,cohens_kappa,0.63,4.0
2025.bsnlp-1.2,§4.6,2025,,cohens_kappa,0.63,4.0
2025.bsnlp-1.2,§4.6,2025,,cohens_kappa,0.28,4.0
2025.bsnlp-1.2,§4.6,2025,,cohens_kappa,0.27,4.0
2025.bsnlp-1.2,§4.6,2025,,krippendorff_alpha,0.57,4.0
2025.climatenlp-1.11,§3,2025,,cohens_kappa,0.63,4.0
2025.comedi-1.5,§4.6,2025,,krippendorff_alpha,0.4812,4.0
2025.comedi-1.5,§4.6,2025,,krippendorff_alpha,0.71,4.0
2025.comedi-1.5,§4.6,2025,,krippendorff_alpha,0.4812,4.0
2025.comedi-1.5,§4.6,2025,,krippendorff_alpha,0.7112,4.0
2025.comedi-1.5,§4.6,2025,,krippendorff_alpha,0.6712,4.0
2025.comedi-1.5,§4.6,2025,,krippendorff_alpha,0.6312,4.0
2025.comedi-1.5,§4.6,2025,,krippendorff_alpha,0.6312,4.0
2025.comedi-1.5,§4.6,2025,,krippendorff_alpha,0.6712,4.0
2025.comedi-1.5,§4.6,2025,,krippendorff_alpha,0.7612,4.0
2025.comedi-1.5,§4.6,2025,,krippendorff_alpha,0.7512,4.0
2025.comedi-1.5,§4.6,2025,,krippendorff_alpha,0.7312,4.0
2025.comedi-1.5,§4.6,2025,,krippendorff_alpha,0.7412,4.0
2025.comedi-1.5,§4.6,2025,,krippendorff_alpha,0.7112,4.0
2025.comedi-1.5,§4.6,2025,,krippendorff_alpha,0.7112,4.0
2025.comedi-1.5,§4.6,2025,,krippendorff_alpha,0.6112,4.0
2025.comedi-1.5,§4.6,2025,,krippendorff_alpha,0.63,4.0
2025.comedi-1.7,§4.6,2025,,krippendorff_alpha,0.555,4.0
2025.comedi-1.7,§4.6,2025,,krippendorff_alpha,0.514,4.0
2025.comedi-1.7,§4.6,2025,,krippendorff_alpha,0.428,4.0
2025.comedi-1.7,§4.6,2025,,krippendorff_alpha,0.332,4.0
2025.comedi-1.7,§4.6,2025,,krippendorff_alpha,0.565,4.0
2025.emnlp-main.326,§4.3,2025,,krippendorff_alpha,0.46,4.0
2025.emnlp-main.326,§4.3,2025,,krippendorff_alpha,0.461,4.0
2025.emnlp-main.326,§4.3,2025,,krippendorff_alpha,0.46,4.0
2025.emnlp-main.1375,§4.2,2025,,cohens_kappa,0.49,4.0
2025.emnlp-main.1375,§4.2,2025,,krippendorff_alpha,0.88,4.0
2025.emnlp-main.1375,§4.2,2025,,krippendorff_alpha,0.8,4.0
2025.emnlp-main.1375,§4.2,2025,,krippendorff_alpha,0.55,4.0
2025.emnlp-main.1519,§4.4,2025,,cohens_kappa,0.77,4.0
2025.emnlp-main.1519,§4.4,2025,,cohens_kappa,0.77,4.0
2025.emnlp-main.1519,§4.4,2025,,cohens_kappa,0.61,4.0
2025.emnlp-main.1519,§4.4,2025,,cohens_kappa,0.77,4.0
2025.findings-acl.922,§4.1,2025,,krippendorff_alpha,0.01,4.0
2025.findings-emnlp.176,§4.1,2025,,cohens_kappa,0.04,4.0
2025.findings-emnlp.176,§4.1,2025,,cohens_kappa,0.52,4.0
2025.findings-emnlp.176,§4.1,2025,,fleiss_kappa,0.04,4.0
2025.findings-emnlp.176,§4.1,2025,,fleiss_kappa,0.52,4.0
2025.gem-1.54,§4.7,2025,,krippendorff_alpha,0.05,4.0
2025.gem-1.54,§4.7,2025,,krippendorff_alpha,0.05,4.0
2025.gem-1.57,§4.7,2025,,generic,0.023,4.0
2025.ijcnlp-long.1,§4.6,2025,,cohens_kappa,0.82,4.0
2025.ijcnlp-long.1,§4.6,2025,,cohens_kappa,0.82,4.0
2025.iwcs-main.17,§4.6,2025,,cohens_kappa,0.6,4.0
2025.iwcs-main.17,§4.6,2025,,cohens_kappa,0.58,4.0
2025.iwcs-main.17,§4.6,2025,,cohens_kappa,0.42,4.0
2025.iwcs-main.17,§4.6,2025,,cohens_kappa,0.42,4.0
2025.law-1.7,§4.6,2025,,cohens_kappa,0.27,4.0
2025.law-1.7,§4.6,2025,,krippendorff_alpha,0.25,4.0
2025.law-1.28,§4.3,2025,,cohens_kappa,0.22,4.0
2025.law-1.28,§4.3,2025,,cohens_kappa,0.95,4.0
2025.law-1.28,§4.3,2025,,cohens_kappa,0.56,4.0
2025.law-1.28,§4.3,2025,,cohens_kappa,0.68,4.0
2025.law-1.28,§4.3,2025,,cohens_kappa,0.37,4.0
2025.law-1.28,§4.3,2025,,cohens_kappa,0.78,4.0
2025.law-1.28,§4.3,2025,,cohens_kappa,0.95,4.0
2025.law-1.28,§4.3,2025,,cohens_kappa,0.6,4.0
2025.law-1.28,§4.3,2025,,cohens_kappa,0.73,4.0
2025.ranlp-1.65,§4.6,2025,,correlation,0.76,4.0
2025.sigdial-1.19,§3,2025,,cohens_kappa,0.754,4.0
2025.sigdial-1.56,§4.6,2025,,krippendorff_alpha,0.98,4.0
2025.tsar-1.1,§4.6,2025,,krippendorff_alpha,0.599,4.0
2025.wmt-1.5,§4.7,2025,,cohens_kappa,0.42,4.0
2025.wmt-1.5,§4.7,2025,,cohens_kappa,0.5,4.0
2025.wmt-1.5,§4.7,2025,,cohens_kappa,0.4995,4.0
2025.wmt-1.5,§4.7,2025,,cohens_kappa,0.58,4.0
2025.wmt-1.5,§4.7,2025,,cohens_kappa,0.5,4.0
2025.wmt-1.5,§4.7,2025,,cohens_kappa,0.25,4.0
2026.eacl-long.341,§4.6,2026,,krippendorff_alpha,0.05,4.0
2026.eacl-long.368,§4.6,2026,,cohens_kappa,0.5,4.0
2026.eacl-long.368,§4.6,2026,,fleiss_kappa,0.5,4.0
2026.eacl-long.368,§4.6,2026,,icc,0.64,4.0
2026.eacl-long.368,§4.6,2026,,icc,0.63,4.0
2026.findings-eacl.100,§4.6,2026,,cohens_kappa,0.74,4.0
2026.loreslm-1.19,§4.6,2026,,cohens_kappa,0.78,4.0
2026.loreslm-1.19,§4.6,2026,,cohens_kappa,0.78,4.0
2026.tacl-1.6,§4.6,2026,,cohens_kappa,0.72,4.0
2026.tacl-1.6,§4.6,2026,,cohens_kappa,0.79,4.0
2026.tacl-1.6,§4.6,2026,,cohens_kappa,0.67,4.0
2026.tacl-1.6,§4.6,2026,,cohens_kappa,0.58,4.0
2026.tacl-1.6,§4.6,2026,,cohens_kappa,0.35,4.0
2026.vardial-1.10,§4.3,2026,,cohens_kappa,0.73,4.0
2026.vardial-1.10,§4.3,2026,,cohens_kappa,0.74,4.0
2026.vardial-1.10,§4.3,2026,,cohens_kappa,0.743,4.0
2026.vardial-1.10,§4.3,2026,,cohens_kappa,0.733,4.0
2026.vardial-1.10,§4.3,2026,,cohens_kappa,0.743,4.0
2026.vardial-1.10,§4.3,2026,,cohens_kappa,0.733,4.0
C16-1324,§4.3,2016,,cohens_kappa,0.606,4.0
C18-1281,§4.1,2018,,krippendorff_alpha,0.8,4.0
J09-4005,§3,2009,,cohens_kappa,0.67,4.0
J09-4005,§3,2009,,cohens_kappa,0.78,4.0
J09-4005,§3,2009,,cohens_kappa,0.93,4.0
J09-4005,§3,2009,,cohens_kappa,0.73,4.0
J09-4005,§3,2009,,cohens_kappa,0.52,4.0
J09-4005,§3,2009,,cohens_kappa,0.637,4.0
J09-4005,§3,2009,,cohens_kappa,0.637,4.0
J15-3003,§3,2015,,krippendorff_alpha,0.405,4.0
J15-3003,§3,2015,,krippendorff_alpha,0.744,4.0
J15-3003,§3,2015,,krippendorff_alpha,0.85,4.0
J15-3003,§3,2015,,krippendorff_alpha,0.107,4.0
J17-3006,§4.1,2017,,krippendorff_alpha,0.743,4.0
K19-1046,§4.1,2019,,cohens_kappa,0.683,4.0
K19-1046,§4.1,2019,,cohens_kappa,0.55,4.0
K19-1046,§4.1,2019,,cohens_kappa,0.56,4.0
L08-1166,§4.5,2008,,cohens_kappa,0.728,4.0
L10-1093,§4.1,2010,,cohens_kappa,0.84,4.0
L12-1312,§4.1,2012,,cohens_kappa,0.86,4.0
L12-1312,§4.1,2012,,cohens_kappa,0.87,4.0
L16-1271,§4.1,2016,,cohens_kappa,0.44,4.0
L16-1271,§4.1,2016,,cohens_kappa,0.225,4.0
L16-1275,§4.1,2016,,cohens_kappa,0.71,4.0
L16-1275,§4.1,2016,,cohens_kappa,0.68,4.0
L16-1460,§4.3,2016,,cohens_kappa,0.92,4.0
L16-1460,§4.3,2016,,cohens_kappa,0.68,4.0
L16-1462,§4.5,2016,,cohens_kappa,0.492,4.0
L18-1640,§3,2018,,cohens_kappa,0.54,4.0
L18-1640,§3,2018,,cohens_kappa,0.77,4.0
L18-1640,§3,2018,,cohens_kappa,0.84,4.0
L18-1640,§3,2018,,cohens_kappa,0.59,4.0
L18-1640,§3,2018,,cohens_kappa,0.84,4.0
L18-1640,§3,2018,,cohens_kappa,0.48,4.0
L18-1640,§3,2018,,cohens_kappa,0.56,4.0
L18-1640,§3,2018,,cohens_kappa,0.48,4.0
L18-1640,§3,2018,,cohens_kappa,0.51,4.0
L18-1640,§3,2018,,cohens_kappa,0.56,4.0
L18-1640,§3,2018,,cohens_kappa,0.64,4.0
L18-1640,§3,2018,,cohens_kappa,0.56,4.0
L18-1640,§3,2018,,cohens_kappa,0.48,4.0
L18-1640,§3,2018,,cohens_kappa,0.64,4.0
L18-1640,§3,2018,,cohens_kappa,0.51,4.0
L18-1640,§3,2018,,cohens_kappa,0.45,4.0
L18-1640,§3,2018,,cohens_kappa,0.33,4.0
N19-1295,§4.1,2019,,cohens_kappa,0.029,4.0
N19-1295,§4.1,2019,,cohens_kappa,0.029,4.0
N19-1295,§4.1,2019,,cohens_kappa,0.153,4.0
N19-1295,§4.1,2019,,cohens_kappa,0.094,4.0
N19-1295,§4.1,2019,,cohens_kappa,0.0634,4.0
N19-1295,§4.1,2019,,cohens_kappa,0.126,4.0
N19-1295,§4.1,2019,,cohens_kappa,0.0776,4.0
N19-1295,§4.1,2019,,krippendorff_alpha,0.001,4.0
N19-1295,§4.1,2019,,krippendorff_alpha,0.0995,4.0
P19-1386,§4.4,2019,,cohens_kappa,0.78,4.0
Q14-1025,§4.3,2014,,krippendorff_alpha,0.55,4.0
Q14-1025,§4.3,2014,,krippendorff_alpha,0.47,4.0
Q14-1025,§4.3,2014,,krippendorff_alpha,0.26,4.0
Q14-1025,§4.3,2014,,krippendorff_alpha,0.2,4.0
Q14-1025,§4.3,2014,,generic,0.72,4.0
Q14-1025,§4.3,2014,,generic,0.57,4.0
Q14-1025,§4.3,2014,,generic,0.58,4.0
Q14-1025,§4.3,2014,,generic,0.45,4.0
Q18-1006,§4.4,2018,,krippendorff_alpha,0.617,4.0
W17-5051,§4.1,2017,,cohens_kappa,0.99,4.0
W18-0510,§4.1,2018,,cohens_kappa,0.91,4.0
W18-0510,§4.1,2018,,cohens_kappa,0.764,4.0
W18-4914,§4.1,2018,,cohens_kappa,0.765,4.0
W18-4914,§4.1,2018,,cohens_kappa,0.507,4.0
W18-5210,§4.3,2018,,cohens_kappa,0.31,4.0
W18-5210,§4.3,2018,,cohens_kappa,0.8,4.0
W18-5210,§4.3,2018,,cohens_kappa,0.83,4.0
W18-5210,§4.3,2018,,cohens_kappa,0.8,4.0
W18-6312,§4.7,2018,,cohens_kappa,0.254,4.0
W18-6312,§4.7,2018,,cohens_kappa,0.13,4.0
W18-6312,§4.7,2018,,krippendorff_alpha,0.05,4.0
W18-7102,§3,2018,,cohens_kappa,0.86,4.0
W18-7102,§3,2018,,cohens_kappa,0.54,4.0
W18-7102,§3,2018,,cohens_kappa,0.55,4.0
W18-7102,§3,2018,,cohens_kappa,0.6,4.0
W18-7102,§3,2018,,cohens_kappa,0.856,4.0
W18-7102,§3,2018,,cohens_kappa,0.74,4.0
W18-7102,§3,2018,,cohens_kappa,0.39,4.0
W18-7102,§3,2018,,cohens_kappa,0.39,4.0
W18-7102,§3,2018,,cohens_kappa,0.86,4.0
W18-7102,§3,2018,,cohens_kappa,0.55,4.0
W18-7102,§3,2018,,cohens_kappa,0.47,4.0
W18-7102,§3,2018,,cohens_kappa,0.45,4.0
W19-2514,§4.6,2019,,cohens_kappa,0.22,4.0
W19-4001,§4.3,2019,,cohens_kappa,0.751,4.0
W19-4001,§4.3,2019,,fleiss_kappa,0.751,4.0
W19-4008,§4.3,2019,,krippendorff_alpha,0.79,4.0
W19-4008,§4.3,2019,,krippendorff_alpha,0.91,4.0
W19-4008,§4.3,2019,,krippendorff_alpha,0.85,4.0
W19-4008,§4.3,2019,,krippendorff_alpha,0.49,4.0
W19-4008,§4.3,2019,,krippendorff_alpha,0.85,4.0
W19-4434,§4.5,2019,,cohens_kappa,0.62,4.0
W19-4434,§4.5,2019,,fleiss_kappa,0.62,4.0
